# Puzzle từ kho mở Lichess (CC0) — sinh bởi tool/build_puzzles.dart
# id|fen|các nước UCI|elo|chủ đề
iSSI8|rnbqkb1r/pp1p1ppp/2p2n2/4N3/2P5/8/PP1PPPPP/RNBQKB1R w KQkq - 1 4|d2d3 d8a5 b1c3 a5e5|1405|advantage,fork,opening,short
iSV9A|r7/ppp1qp1n/2np3k/2b1pQ1p/2B1P1rP/P1PP2B1/1P1N2PK/R4R2 w - - 0 19|f5f7 g4h4 g3h4 e7h4|1406|mate,mateIn2,middlegame,short
l6Mmh|7r/pp2n1b1/4p1p1/4PkP1/2bBRp1r/2NN4/PP6/2KR4 b - - 5 26|h4h1 e4f4 f5g5 c3e4 g5h6 d1h1|1407|interference,long,mate,mateIn3,middlegame
lXDWq|5r1k/ppb3p1/2p4p/2Q2rP1/1P3PK1/P4R1P/8/8 w - - 0 45|c5f5 h6h5 g4h5 f8f5|1407|advantage,endgame,short
QuGsd|r1b2rk1/pppn1pp1/2n2q1p/5N2/3P4/3Q4/PPB2PPP/R1B1R1K1 b - - 3 18|c6b4 f5e7 f6e7 d3h7|1408|clearance,kingsideAttack,master,mate,mateIn2,opening,sacrifice,short
eAa0R|3r2k1/ppp2pp1/3p3p/4rP1N/7q/2PB3P/PP1Q1P1K/6R1 w - - 0 31|d2h6 h4f2 g1g2 f2g2 h2g2 g7h6|1409|advantage,long,middlegame
dfTEm|7R/4r3/p4r1p/5kpK/PP3p2/5B1P/6P1/8 b - - 0 50|e7e6 f3g4 f5e4 g4e6 f6e6 h8h6|1410|advantage,endgame,long,skewer
D9tw3|6k1/2p3p1/p1pp2rp/4pqn1/P7/1P1PQPNb/2P2P2/2R1R1K1 w - - 2 24|g3f5 g5f3 g1h1 h3g2|1410|discoveredCheck,doubleCheck,kingsideAttack,mate,mateIn2,middlegame,short
dMGtr|1kB4r/3N1p2/3Np1p1/p1q1P3/n4p2/1p6/1P2QPP1/1K6 b - - 4 35|b8a7 e2a6|1410|mate,mateIn1,middlegame,oneMove
Y46Sr|rn1qkb1r/p4ppp/2b1p3/1B1n4/3N4/1Q2P3/PP1P1PPP/R1B1K2R b KQkq - 2 11|d8b6 b5c6 b8c6 b3b6 a7b6 d4c6|1411|advantage,capturingDefender,discoveredAttack,fork,long,opening
RJoB9|r4rk1/4bp2/2p5/2Pp2pn/1P1Qp1R1/P3P3/1B1K1P2/RN5q b - - 3 22|e7f6 g4g5 g8h7 g5h5 h1h5 d4f6|1413|advantage,kingsideAttack,long,middlegame
ZjCQ4|8/3R1k1p/4p1p1/P1r5/8/6P1/7P/5K2 b - - 1 41|f7g8 a5a6 c5a5 a6a7|1413|advancedPawn,crushing,endgame,rookEndgame,short
np9co|r1bqk2r/p1pp1p2/2p4p/2b3p1/2B1n3/5QB1/PPP2PPP/RN2K2R b KQkq - 1 10|e4d6 g3d6 d8e7 d6e7|1413|crushing,middlegame,short
eIZyQ|8/p6p/3rpkp1/1P3p2/1n6/5P2/2P1BKPP/3R4 b - - 4 29|f6e5 f3f4 e5f4 d1d6|1413|crushing,deflection,endgame,short
Z5ezU|r7/P2k1p1p/3p3K/4p3/6P1/4Bb1P/8/1R6 b - - 1 44|f3e4 b1b8 a8a7 e3a7|1413|crushing,endgame,short
0JLi2|r1b2rk1/p2nbp1p/6pQ/1p1pN3/5B2/q1p2B2/P4PPP/R3R1K1 b - - 5 28|d7e5 f4e5 f7f6 f3d5 c8e6 d5e6|1414|advantage,fork,long,middlegame
mUg39|r2qkb1r/pp3ppp/3pp3/8/4n3/2P2N2/PP3PPP/R1BQ1RK1 b kq - 0 10|f8e7 d1a4 d8d7 a4e4|1414|advantage,fork,middlegame,short
atBHY|8/3R4/8/p3p3/2R5/r7/4rP2/4k1K1 b - - 11 47|e2f2 c4c1 e1e2 c1c2 e2e3 c2f2|1415|crushing,endgame,long,rookEndgame
mQBux|1rb2r2/p1b4k/1p5p/2p1pp2/4B2R/3P2PQ/P1q2P1P/R5K1 b - - 1 22|f5e4 h4h6 h7g8 h6h8|1415|crushing,middlegame,short
2Yjw9|r3k1nr/1P2ppb1/1N1p2p1/1p4p1/8/4PP2/PP3P1P/R3K2R b KQkq - 0 15|a8b8 a1c1 f7f5 c1c8|1416|crushing,master,middlegame,quietMove,short
lXBXq|8/R3rpp1/2pk3p/3p1P2/1P1P3P/2P3K1/8/8 w - - 3 33|a7e7 d6e7 g3f4 e7f6|1417|crushing,endgame,short
Q6luv|1r6/p2r1k1p/R5p1/4pp2/2NnP3/1PK2P1P/3b2P1/3R4 w - - 0 37|d1d2 b8b3|1417|endgame,hookMate,master,mate,mateIn1,oneMove
fKKoP|r1b2rk1/ppp3pp/2n1qp2/2b1p3/Q1P1B3/P4N2/1B1P1PPP/R3K2R b KQ - 3 12|c6d4 e4d5 d4f3 g2f3 g8h8 d5e6|1419|advantage,long,middlegame,pin
5tOBY|r2q1rk1/p1p2pbp/4bnp1/4p3/2p1P3/2PPBQ2/PP2NPPP/RN3RK1 w - - 0 12|d3d4 e6g4 f3g3 g4e2|1419|crushing,opening,short,skewer
R1Uj4|1k1r4/1p3p2/p3p3/4n3/P7/1P1qP3/5PPP/R1Q2K1R w - - 5 26|f1g1 e5f3 g2f3 d8g8|1419|endgame,mate,mateIn2,sacrifice,short
EMe09|r4r1k/2Q2ppp/1p2b3/6q1/3N4/P7/1P3PP1/2R1R1K1 b - - 4 26|a8c8 d4e6 c8c7 e6g5|1420|crushing,master,middlegame,short
CBA9C|r3k1nr/pppb1ppp/1bn5/4P1N1/3P2q1/P1N5/1PP1B1PP/R1BQK2R b KQkq - 4 12|g4g2 e2f3 d7g4 f3g2|1420|crushing,opening,short,trappedPiece
W3b5D|4r1k1/p1Q2pp1/5q1p/2p2r2/2P1p3/2P3RP/P4PP1/5RK1 w - - 5 30|c7a7 e4e3 g3e3 e8e3 a7b8 g8h7|1421|crushing,defensiveMove,endgame,long
jbuax|2r1r1k1/2q2pp1/p2p3p/1pnpPN2/5P2/P3Q1PP/1PP5/3R1RK1 w - - 2 22|f5d6 c7d6 e5d6 e8e3|1421|advantage,middlegame,short
atA6v|3r1k2/3P1p2/pb2q3/2p3Qp/8/P1PR1P1P/1P3PK1/8 b - - 0 32|d8d7 d3d7 e6d7 g5h6 f8e7 h6b6|1423|crushing,endgame,fork,long
5f9CY|r4r1k/pp1b2pp/2pb1q2/3P1p2/2B1p3/2N4P/PP3QP1/R1B2RK1 w - - 1 19|c1f4 d6f4 f2f4 f6d4 g1h2 d4c4|1423|advantage,fork,long,middlegame
Msd4P|5r1k/6p1/p6p/1pb4Q/8/4r3/PP1R2PP/3R1K2 w - - 5 33|d2f2 f8f2 f1f2 e3e5 f2f3 e5h5|1423|advantage,discoveredAttack,discoveredCheck,endgame,long
nwg7o|1rb1kb1r/2qn1ppp/2p2P2/8/4P3/2p1BN1P/1PPQ2P1/R3KB1R w KQk - 0 14|d2c3 f8b4 c3b4 b8b4|1423|advantage,master,opening,pin,short
GCIx9|3R4/5k2/4p2P/3bP3/3r4/8/8/6K1 b - - 0 58|d4e4 h6h7 e4h4 h7h8q h4h8 d8h8|1424|advancedPawn,crushing,endgame,long,promotion
5tL7K|r4rk1/5ppp/1q2pn2/1bb5/3N4/P3P3/1B2QPPP/R4RK1 w - - 0 20|e2b5 c5d4 b5b6 d4b6|1425|advantage,middlegame,short
mrYD9|r2r4/5pk1/p1p5/P6R/1Q4p1/6P1/1P3qBK/8 b - - 1 36|d8d2 b4g4 g7f8 h5h8|1425|crushing,endgame,short
6IhtD|7k/p4prp/1p6/4RQ2/3p4/5RP1/qr5P/6K1 b - - 0 30|b2g2 g1f1 h7h6 e5e8|1427|advantage,endgame,short
1nj0B|3r2k1/p4ppp/1pp2b2/4pP2/1P2P3/1BP2Q1P/P2q2P1/5RK1 b - - 0 26|d8d7 f1d1 d2d1 b3d1|1428|crushing,endgame,master,short
7gFUi|1k5r/1pp5/pr6/8/q7/3PR3/PB1R1Q2/1K6 w - - 2 38|d2e2 a4d1|1429|mate,mateIn1,middlegame,oneMove,pin
6HINc|r2R1nk1/pp2Bpp1/2p2n1p/q3p3/P1B1P1b1/R7/2P1QPPP/6K1 w - - 4 21|d8a8 g4e2 a8f8 g8h7 c4e2 a5e1 e2f1 f6e4|1429|crushing,fork,middlegame,veryLong
RXsKI|8/2k5/1p6/3P1p1p/2K2Pp1/6P1/7P/8 w - - 4 51|c4d4 c7d6 d4c4 b6b5 c4b4 d6d5|1430|crushing,deflection,endgame,long,pawnEndgame
ZfsWB|5k2/2R2p1p/pr2p1p1/1p2N3/5P2/b3P3/4KP1P/8 b - - 1 28|a3e7 e5d7 f8e8 d7b6|1430|crushing,endgame,fork,short
AdRTy|r1r4k/6bp/p3qnp1/2Bn4/Q1BPp3/P5NP/5PP1/1RR3K1 w - - 5 28|b1b6 d5b6 c4e6 b6a4 e6c8 a8c8|1431|advantage,long,middlegame
60zdi|8/1p4pk/p1p4p/2P1R3/1P3P2/P2q2P1/1Q3K1P/3r4 w - - 3 40|b2e2 d1d2 e2d2 d3d2|1431|crushing,endgame,pin,short
J1yGG|1k1r1b1r/ppp2ppp/2n2n2/q3NQ1b/3P4/2N1B2P/PPP1BPP1/R3K2R b KQ - 0 11|h5e2 e5c6 b7c6 f5a5|1432|crushing,discoveredAttack,middlegame,queensideAttack,short
KZnmB|r2k4/p5R1/1p1pN2p/8/4b3/PKP5/3q1P1P/6R1 b - - 2 33|d8c8 g7c7 c8b8 g1g8|1433|endgame,mate,mateIn2,short
Q6mhO|3rr1k1/pp3ppp/2p5/3pn3/6P1/3P1P2/PPPQB2q/1K1RR3 b - - 2 21|e5f3 e2f3 h2d2 e1e8 d8e8 d1d2|1433|advantage,discoveredAttack,long,middlegame
W8KRz|2bb2qk/7p/pp1p4/2pPp3/P1P1Pp1n/1PNB1P1p/3Q3P/2NR3K w - - 0 34|d1g1 g8g1 h1g1 h4f3 g1f1 f3d2|1434|advantage,attraction,fork,long,middlegame,sacrifice
0JOGA|r1b3k1/1p3ppp/7q/PB1pr3/5p2/P2P1N2/2PQ2Pn/R5RK w - - 0 26|f3h2 h6h2 h1h2 e5h5|1434|attraction,kingsideAttack,mate,mateIn2,middlegame,sacrifice,short
7wybr|8/1kp5/5R2/1Kp3P1/1bP5/1P1R1P2/5r2/8 w - - 4 45|f6f7 f2a2 f7c7 b7c7 d3d7 c7d7|1434|crushing,endgame,long,quietMove
CBBht|1k6/pp3p1B/4b3/3pP3/3P3b/1Q2B2P/PP1N2PK/4q3 w - - 3 26|d2f3 h4g3|1435|master,mate,mateIn1,middlegame,oneMove
gN52F|3r1r1k/p1p1R2p/2B3p1/5b2/2Q5/2N5/P1q2PPP/1R4K1 w - - 1 28|c4h4 c2b1 c3b1 d8d1 e7e1 d1e1|1435|backRankMate,fork,long,mate,mateIn3,middlegame,sacrifice
MmBiy|rn1q1rk1/1p3ppp/p4n2/2bp2B1/8/2N2N2/PPP2PPP/R2Q1RK1 w - - 0 12|c3d5 d8d5 g5f6 d5d1 f1d1 g7f6|1435|advantage,long,opening
L2Rj7|5b2/2p2k2/5p2/2p1pP1N/1pPnP3/1P1P3P/4K3/2B5 w - - 1 34|e2e3 f8h6 e3f2 h6c1|1436|crushing,endgame,master,short,skewer
hb2d0|7R/pp3p2/4k1p1/4p3/KQ6/1P3R2/r4P2/2q5 w - - 0 38|a4b5 c1c6|1437|endgame,master,mate,mateIn1,oneMove
VcgMo|1k2r3/pp6/8/3p2p1/3P1q2/2PQ1P2/PP3KPr/R5R1 w - - 5 28|a1e1 f4h4 f2f1 h4e1|1437|endgame,mate,mateIn2,short
WOZtl|2kr1b1r/pppq1p2/3p1p2/1N2nP1p/8/2N3P1/PPPQB2P/2KR3R w - - 0 17|d2e3 f8h6 b5a7 c8b8 e3h6 h8h6|1437|advantage,long,middlegame,pin
Q9Olw|4r1k1/5ppp/pq6/1p1r2N1/1P2b3/8/1P3PPP/R2QR1K1 w - - 0 23|d1e2 d5g5 e2e4 e8e4|1437|crushing,hangingPiece,middlegame,short
mQFao|r1bq1rk1/pp4p1/2p1p2p/3pB2P/3Pn1pb/2NBPP2/PPP1K3/R2Q3R w - - 0 16|f3e4 f8f2 e2e1 f2h2|1438|advantage,discoveredAttack,discoveredCheck,middlegame,short
atY8S|1k1b1r2/R6p/Q2p1rp1/2p1p3/1q2P3/3P3P/5PP1/6K1 b - - 3 39|b4b6 a7a8 b8c7 a6c8|1438|endgame,mate,mateIn2,queensideAttack,short,swallowstailMate
FghR2|r3r1k1/1pp3pb/5p1p/p1bqN3/3n4/P2P2BP/1PPN1PP1/R2QR1K1 w - - 0 21|e5c4 e8e1 d1e1 d4c2|1438|crushing,middlegame,short
hChlQ|r1bk1r2/ppppnB1p/7Q/8/2NqP3/8/P1P3PP/5R1K b - - 1 17|f8f7 h6f8 f7f8 f1f8|1440|backRankMate,mate,mateIn2,middlegame,sacrifice,short,xRayAttack
L2RgQ|5k2/3R4/8/8/8/Pn1pB2P/2r2KP1/8 w - - 2 37|f2e1 c2e2 e1d1 e2e3|1440|advantage,endgame,fork,short
RNt7z|r1bq1r2/pp2bppk/2p1p3/6N1/3P3P/8/PPP2PP1/R2QK2R b KQ - 1 12|e7g5 h4g5 h7g8 d1h5|1441|advantage,discoveredAttack,discoveredCheck,middlegame,short
Kh0Px|8/6N1/6pP/8/p7/k1n5/5K2/8 b - - 0 50|a3b2 h6h7 a4a3 h7h8q a3a2 h8b8|1442|advancedPawn,crushing,endgame,knightEndgame,long,promotion
4fYzT|6rk/8/3p2p1/2p1q1Rp/7Q/8/P1P5/7K b - - 1 43|e5f6 g5h5 g6h5 h4f6|1442|crushing,discoveredAttack,endgame,short
lXDN5|r2q1rk1/p3npp1/1p3p1p/8/2pP4/3QPN1P/P4PP1/2R1K2R w K - 0 16|d3c4 a8c8 c4c8 e7c8|1442|crushing,middlegame,short
UN2BL|2kr4/pp3rpp/3B4/3p4/2b5/4P1Q1/Pq3PPP/R2BK2R w KQ - 0 25|d6e5 b2b4 e5c3 b4c3|1443|mate,mateIn2,middlegame,short
X7sTN|r3k1nr/1ppb1ppp/p1n2q2/8/Q1B1pB2/2P5/P3NPPP/3R1RK1 b kq - 1 13|b7b5 c4b5 a6b5 a4a8|1443|advantage,middlegame,short
np7km|1k3r2/1p6/p2p1p2/2r2R2/2qpP3/6P1/PPPQ2PP/1K3R2 w - - 2 27|f5f6 c4f1 f6f1 f8f1 d2c1 f1c1|1444|crushing,endgame,long,queensideAttack,xRayAttack
KzUaL|5rk1/1Q3ppp/2n3q1/r2pp3/3P4/1P2P1N1/P4PPP/R4RK1 w - - 0 22|b7b6 f8b8 b6c7 a5a7 c7a7 c6a7|1444|advantage,long,middlegame,trappedPiece
lBPAp|r1bq4/pp2nr1k/4p1p1/2pp2Q1/3nP3/P1NP4/BPP2PP1/2K4R b - - 3 16|h7g8 g5h6 f7h7 h6h7|1445|crushing,kingsideAttack,master,middlegame,short
cY3mN|6k1/p3bppp/2p5/2prPq2/5B2/1P3Q1P/P4PP1/3R2K1 w - - 0 25|f4g3 f5f3 g2f3 d5d1|1445|capturingDefender,crushing,endgame,kingsideAttack,short
hb0a8|r4r2/pbp1k1pQ/1pnpp1Bp/6q1/2PP4/P7/1P4PP/2R2RK1 b - - 5 22|c6e5 h7g7 f8f7 f1f7 e5f7 g7f7 e7d8 f7e8|1445|mate,mateIn4,middlegame,veryLong
ZfuFB|7k/p4pp1/7p/4pP2/1PB1Q3/P1Pr3P/3r1qP1/2R1R1K1 w - - 0 29|g1h1 d3h3 g2h3 f2h2|1445|kingsideAttack,mate,mateIn2,middlegame,sacrifice,short
AdOHR|8/2p5/p1k5/5B2/2P1NK2/8/r7/8 b - - 0 42|a2a4 f5d7 c6d7 e4c5 d7e7 c5a4|1446|attraction,crushing,endgame,exposedKing,fork,long,sacrifice
2Mih5|4q1k1/R7/R3n1p1/5p2/p7/2P4P/5P2/6K1 b - - 5 49|e6c5 a7a8 e8a8 a6a8|1446|crushing,endgame,pin,short
kQumF|r1bqk2r/ppp2ppp/2np1n2/3P4/1b2P3/2N4P/PP3PP1/R1BQKBNR b KQkq - 0 7|c6e5 d1a4 c7c6 a4b4|1448|crushing,fork,opening,short
ZW6lH|8/4Rp2/2k3p1/5r1p/4K2P/6P1/8/8 b - - 23 55|c6c5 e7e5 f5e5 e4e5 g6g5 h4g5|1448|crushing,endgame,long,master,rookEndgame
Fgisk|6k1/5pp1/p2p1q1p/2bR1P2/P2NQ3/2P4P/r5PK/8 b - - 3 34|a2a4 e4e8 g8h7 e8a4|1449|crushing,endgame,fork,master,short
Q6mhm|1nrr2k1/pb2bppp/1p2p3/3n4/1P2N3/P3PN2/1B2BPPP/3R1RK1 w - - 10 16|e4c3 d5c3 d1d8 e7d8|1449|advantage,fork,middlegame,short
V1c1f|5rk1/1p5p/p1n5/2Np3q/PP1P4/3Q3p/3B1RK1/8 w - - 0 31|g2h1 h5d1 d3f1 d1f1 f2f1 f8f1|1450|crushing,exposedKing,long,master,middlegame,xRayAttack
ko8Hl|r2q1rk1/1p1b2p1/p1pp1pB1/2nPp3/2P1P3/2N3P1/PP1Q3R/2K5 b - - 5 20|d7e8 h2h8 g8h8 d2h2 h8g8 h2h7|1450|attraction,kingsideAttack,long,mate,mateIn3,middlegame,sacrifice
gekpS|q5k1/p1p2ppp/8/8/8/P5P1/1PP2R1P/3R2Kb b - - 2 25|h1e4 f2d2 g8f8 d2d8 a8d8 d1d8|1450|crushing,endgame,fork,long,quietMove
97Dxy|1k6/p1p2Q2/7p/1P4p1/q2r1PP1/5BP1/2K4R/8 w - - 1 41|f7b3 d4c4 c2b2 c4b4|1451|advantage,endgame,pin,short
byvFq|1rr3k1/5pb1/4b1p1/q1n3P1/N4P1R/1P2P3/nBPQ2B1/1K5R b - - 1 27|a5d2 h4h8 g7h8 h1h8|1452|kingsideAttack,mate,mateIn2,middlegame,operaMate,sacrifice,short
PmxzW|6k1/1p3pp1/p6p/P2B4/3P2rn/2P1r1P1/1R1QPq1P/4R2K w - - 1 32|e1f1 f2f1|1453|hangingPiece,kingsideAttack,mate,mateIn1,middlegame,oneMove
RJo8n|rr4k1/4pp1p/1n1p2p1/q1pP4/2P1NP2/1Q2P3/P5PP/RR4K1 b - - 0 21|b6d5 b3b8 a8b8 b1b8 g8g7 c4d5|1454|advantage,long,middlegame
J1zkX|r3k2r/2q2p1p/p4P2/3P4/n2p4/1p4N1/2P2Q1P/2KR1B1R w kq - 0 25|d5d6 b3b2 c1d2 c7c3 d2e2 c3c2|1454|advancedPawn,crushing,deflection,long,master,middlegame,queensideAttack
EMesF|5r1k/r3Np1p/p1Qpb1pb/8/2Pq4/3P2PP/PP3PB1/4RRK1 w - - 1 23|c6e4 d4e4 e1e4 a7e7|1454|advantage,middlegame,short
MsarX|4r1k1/pQp2pp1/5n1p/2PPr3/6b1/3P4/PP1NqPPP/R1B2RK1 w - - 1 20|d2c4 e2f1 g1f1 e5e1|1454|attraction,kingsideAttack,mate,mateIn2,middlegame,sacrifice,short
L2SvB|8/6p1/4p3/5k2/p2p1P2/Pn1K1NPP/8/8 b - - 0 41|g7g6 f3d4 b3d4 d3d4|1455|crushing,endgame,knightEndgame,short
R1XPJ|8/1p1q2kp/pBnp2pb/3Qr3/2P5/7P/PPR3P1/3R2K1 w - - 0 28|d5d6 e5e1 d1e1 d7d6|1455|advantage,deflection,master,middlegame,short
WGVxZ|5R2/6pk/6bp/1r6/4p1PN/7P/6PK/8 b - - 2 32|b5e5 f8h8 h7h8 h4g6 h8h7 g6e5|1456|attraction,crushing,deflection,endgame,fork,long,sacrifice
Oekl3|rn1qkb1r/1p3pp1/p3p2p/3pN3/3Pn1P1/4P2P/PP1BBP2/R2QK2R w KQkq - 0 13|f2f3 d8h4 e1f1 h4f2|1457|mate,mateIn2,middlegame,short
PpTzk|6k1/4P1p1/2p3b1/1p4P1/4pKNR/2r1P3/8/8 b - - 0 43|c3c5 g4e5 c5e5 f4e5|1457|crushing,endgame,short
NLDjw|3r1rk1/1p2qpp1/2n3np/p1RpPQ2/1P1P4/P4N2/3N1PPP/4R1K1 w - - 0 20|b4b5 c6d4 f3d4 e7c5|1459|advantage,capturingDefender,middlegame,short
W8JTN|8/1pRnpp2/5k2/3PpNp1/1P2PnP1/5P1r/3Q2Bq/5K2 w - - 4 36|c7d7 h3f3 g2f3 h2d2|1459|crushing,middlegame,short
VyWal|1r4k1/1p3ppp/1Rp5/2q1p1P1/4P2P/r2PP3/pQ2BK2/5R2 w - - 4 25|f1c1 c5c1 b2c1 a2a1q c1a1 a3a1|1460|advancedPawn,advantage,long,middlegame,promotion
FgiYP|5rk1/p1p2ppp/8/8/4Pb2/4KP2/PPQ3Pq/RNBR4 w - - 4 21|e3e2 h2g2 e2d3 f8d8 d3c4 g2c2|1460|crushing,deflection,long,middlegame
529nc|r2qkb1r/p2b1ppp/4pn2/1B1p4/8/5N2/PPP2PPP/R1BQK2R w KQkq - 4 10|d1e2 d8a5 c1d2 a5b5 e2b5 d7b5|1461|crushing,long,opening
Fc3ZI|2r1r1k1/1p2bpp1/pn1B3p/2pP1N2/2q5/P2Q1R2/1P3PPP/1R4K1 b - - 0 23|e7d6 f5d6 c4d3 f3d3|1463|advantage,fork,middlegame,short
WKkiZ|r1b1kb1r/pp1n1ppp/2n1p3/qNppP3/3P1P2/1R2BN2/P1PQ2PP/4KB1R b Kkq - 5 11|a7a6 d2a5 c6a5 b5c7 e8d8 c7a8|1464|advantage,fork,long,middlegame
OrIcP|1r2r1k1/2p1q2p/4b1pP/5p2/p1B5/2P2Q2/PP3PP1/2KR3R w - - 0 25|h1e1 e7g5 f3e3 g5e3 e1e3 e6c4 e3e8 b8e8|1465|advantage,middlegame,veryLong
5tNLb|4k2r/2p1nppp/p7/1p1N4/8/4R3/PPPR1q1P/2K5 b k - 0 20|f2h4 d5c7 e8f8 d2d8|1465|endgame,mate,mateIn2,short
CFXhG|6kR/1pb1qpp1/p3p3/3pP1N1/5Q2/1P2r2P/P5PK/8 b - - 2 37|g8h8 f4h4 h8g8 h4h7 g8f8 h7h8|1465|endgame,long,mate,mateIn3
ECGfM|r4rk1/6pp/pbq5/1p1pPp1Q/5B2/2Pp1P2/PP1R2PP/R4K2 w - - 2 25|d2d3 c6c4 a1d1 c4f4|1466|advantage,fork,middlegame,pin,short
aD8pC|3r1k2/bb3pp1/p6N/3P4/4nB2/1B3Q1P/1q3PP1/3R2K1 b - - 0 33|e4f2 f4d6 d8d6 f3f7|1466|discoveredAttack,mate,mateIn2,middlegame,sacrifice,short
1oxmi|2b5/5k2/p1N1p3/1p1pPp2/1P3P1K/P7/8/8 b - - 4 45|f7g6 c6e7 g6h6 e7c8 d5d4 h4g3|1466|crushing,defensiveMove,endgame,fork,long
ECFjT|2b2k1r/R4p2/1q1b1n2/2p1p2p/2B2p2/2P2P1p/1P4P1/3QR1K1 b - - 2 29|h8g8 a7f7 f8e8 f7f6|1467|crushing,fork,master,middlegame,short
B5OD4|rn5r/ppk4p/2p1bp2/4Nnp1/2P5/2P1P1B1/P4PPP/3RKB1R w K - 4 14|f1d3 f5g3 h2g3 f6e5|1467|advantage,middlegame,short
gN6PK|4r1k1/6p1/4P1N1/1p5P/1Pp3P1/2PrR3/5PK1/8 w - - 7 43|e3d3 c4d3 g2f3 e8e6|1468|crushing,endgame,short
6123e|3k1r2/2qrRp2/1p1p3Q/8/8/5P2/PPP2P1P/1K1R4 b - - 0 26|d8e7 d1e1 e7d8 h6f8|1468|deflection,endgame,mate,mateIn2,short
kxvu9|r3r1k1/1pb3pp/p4p2/P1B1q3/1Pp1p3/2P2P2/4Q1PP/R3R1K1 w - - 1 28|e2e4 e5h2 g1f1 e8e4|1468|crushing,discoveredAttack,kingsideAttack,middlegame,short
97EJx|6k1/6p1/p3R2p/Pp1B4/3p3n/P1r4P/5PP1/6K1 b - - 3 36|d4d3 e6c6 g8f8 c6c3|1468|crushing,discoveredAttack,discoveredCheck,endgame,short
Z5dNL|2rrb1k1/pp2bp2/4pn1Q/n3R3/3P4/P1N2N2/5qPP/1B1R3K b - - 1 23|f6g4 h6h7 g8f8 h7h8|1468|kingsideAttack,master,mate,mateIn2,middlegame,short
IrXWf|8/3pk3/5pp1/p2P3p/2PQ3P/q5P1/P4PK1/8 w - - 1 36|d4e3 a3e3 f2e3 e7d6 g2f1 d6c5 f1e2 c5c4|1468|advantage,endgame,queenEndgame,veryLong
T0xEp|2r3k1/2q2rp1/pp1R3p/5P2/1PB1b3/P3p1Q1/1B4PP/K2R4 b - - 7 32|c7c4 d6d8 c8d8 d1d8 f7f8 g3g7|1469|kingsideAttack,long,mate,mateIn3,middlegame,pin
GCL7P|6rk/p1p2p1p/2b5/8/5P1P/2NP3K/PP3Pr1/R1B2R2 w - - 1 26|c3e4 c6d7 f4f5 d7f5|1469|mate,mateIn2,middlegame,morphysMate,short
lGPBA|1k3rr1/ppqn3p/2p5/5Q2/N7/1P6/P1P2PPP/R4RK1 w - - 0 23|f5h7 g8h8 h7h8 f8h8|1470|crushing,middlegame,short
W8Jcl|r3k2r/pp3ppp/2p1p3/3pPb2/1qP1nP2/2N1P1P1/PP1Q3P/R3KB1R b KQkq - 2 12|a8d8 c3e4 b4d2 e4d2|1472|crushing,middlegame,short
MK4wh|6k1/5p1p/1pq1r1p1/3p4/r7/P1P4P/1Q3PP1/RR4K1 w - - 1 27|b2b5 e6e1 b1e1 c6b5|1473|crushing,deflection,endgame,master,short
OenFL|2k5/1Rp2pp1/p1p2n1p/7b/P7/5PB1/2r3rP/1R5K b - - 1 23|h5f3 b7c7 c8d8 b1b8|1473|mate,mateIn2,middlegame,short
bysTI|3rr1k1/2q2ppp/p4b2/np2N3/2pPQ3/5N1P/PP3PP1/R3R1K1 b - - 2 22|a5c6 e4c6 c7c6 e5c6|1474|crushing,middlegame,short
ABBFw|2r3k1/p4pp1/1p2p2p/4P3/3P2P1/4Q2K/5RNP/2n2q2 b - - 6 34|c8c3 f2f1 c3e3 g2e3|1474|advantage,endgame,short
nwhWi|2r2b1k/p4P1q/1p2p1bp/3p1p2/3P1P1Q/1P2B1RR/PPr3PP/5K2 b - - 0 31|g6f7 h4f6 f8g7 f6f7|1475|advantage,interference,kingsideAttack,master,middlegame,short
akOus|r3k2r/pp1nppb1/2p5/1q2P1pp/N2Pn3/2P3BP/PP2N1P1/R2Q1R1K w kq - 1 17|d1c2 b5e2 c2e2 e4g3 h1h2 g3e2|1475|advantage,attraction,capturingDefender,fork,long,middlegame,sacrifice
mranF|7r/pp6/3kP3/3pn3/5Q1P/1N1p2P1/Pq3P2/4R1K1 w - - 0 27|b3d4 b2d4 f4d4 e5f3 g1g2 f3d4|1476|advantage,attraction,endgame,fork,long,sacrifice
2Ykuo|2k3r1/1pp5/3b4/pP1p1p2/P2q3p/4N1rP/R3Q1P1/1N4RK w - - 0 31|e3f5 g3h3 g2h3 g8g1|1476|discoveredAttack,kingsideAttack,mate,mateIn2,middlegame,pillsburysMate,short
atYlm|r5k1/pp4bp/2p3q1/4p1p1/4NrQ1/8/PPP2PPP/R3R1K1 w - - 6 20|g4g5 f4e4 g5g6 e4e1 a1e1 h7g6|1477|crushing,kingsideAttack,long,middlegame
CFUyJ|1Rb2rk1/5pbp/2p1p1p1/p7/8/q3BN2/P1Q2PPP/6K1 b - - 2 25|a5a4 e3c5 a3c3 c2c3 g7c3 c5f8|1477|advantage,fork,long,middlegame
59GpF|r2r4/ppR5/5nk1/7p/5Rb1/2N5/PPP3PP/6K1 b - - 0 20|d8d2 f4f6 g6f6 c3e4|1477|advantage,attraction,middlegame,sacrifice,short
